Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_Score,Credit_Utilization,Open_Accounts,Prev_Loan_Count,Prev_Loans_Repaid,Prev_Loan_Defaults,Avg_Prev_Loan_Amount,Repayment_Rate,Property_Area,Loan_Status
LP000019,Male,Yes,0,Graduate,No,2857,0,273.0,,,,1.0,2.0,2.0,0.0,57.2,1.0,Semiurban,Y
LP000020,Male,Yes,2,Graduate,No,7485,0,798.0,360.0,649.0,14.8,3.0,,1.0,0.0,358.6,,Rural,Y
LP000021,Male,Yes,0,Graduate,Yes,7300,0,238.0,360.0,633.0,51.9,2.0,3.0,2.0,1.0,216.1,0.67,Semiurban,N
LP000022,Male,Yes,3+,Graduate,Yes,5129,2875,800.0,360.0,654.0,8.2,3.0,3.0,2.0,1.0,351.9,0.67,Urban,Y
LP000023,Male,Yes,2,Graduate,No,4169,0,364.0,360.0,814.0,32.1,3.0,0.0,,0.0,0.0,0.0,Urban,Y
LP000024,Male,No,1,Graduate,No,3413,0,389.0,240.0,580.0,61.3,6.0,5.0,3.0,2.0,184.8,0.6,Semiurban,N
LP000025,Male,Yes,0,Graduate,Yes,2158,0,86.0,360.0,806.0,19.0,4.0,1.0,1.0,0.0,147.6,1.0,Semiurban,Y
LP000026,Female,Yes,1,Not Graduate,No,3124,0,290.0,360.0,610.0,19.3,5.0,2.0,1.0,,59.5,0.5,Rural,N
LP000027,Male,Yes,0,Graduate,No,5925,1750,590.0,360.0,843.0,18.4,4.0,1.0,1.0,0.0,260.1,1.0,Semiurban,Y
LP000028,Male,Yes,0,Graduate,,14368,561,800.0,360.0,794.0,46.2,5.0,0.0,0.0,0.0,0.0,0.0,Rural,Y
LP000029,Male,Yes,2,Graduate,No,6263,6118,800.0,360.0,771.0,7.8,4.0,1.0,1.0,0.0,500.0,1.0,Urban,Y
LP000030,Male,Yes,0,Graduate,No,6829,2472,606.0,120.0,715.0,10.8,3.0,,2.0,0.0,202.5,1.0,Urban,Y
LP000031,Male,,,Graduate,No,4168,0,364.0,360.0,817.0,20.9,5.0,4.0,4.0,0.0,98.5,1.0,Semiurban,Y
LP000032,Male,Yes,,Graduate,No,6098,0,729.0,120.0,619.0,46.0,3.0,5.0,2.0,3.0,116.8,0.4,Semiurban,N
LP000033,Male,No,0,Graduate,No,1225,1768,294.0,,760.0,1.4,2.0,2.0,2.0,0.0,231.9,1.0,Urban,Y
LP000034,Female,Yes,1,Graduate,Yes,2883,1104,454.0,300.0,706.0,4.3,1.0,3.0,3.0,0.0,197.5,1.0,Semiurban,Y
LP000035,Female,Yes,1,Graduate,Yes,6783,1318,800.0,180.0,722.0,38.8,2.0,0.0,0.0,0.0,0.0,0.0,Semiurban,Y
LP000036,Female,No,0,Graduate,No,6856,2053,800.0,360.0,717.0,19.4,,2.0,2.0,0.0,405.3,1.0,Rural,Y
LP000037,Male,Yes,2,Not Graduate,No,3209,2666,220.0,240.0,757.0,47.8,2.0,3.0,3.0,0.0,339.2,1.0,Semiurban,Y
LP000038,Male,Yes,3+,Graduate,No,2028,3439,546.0,360.0,669.0,42.0,6.0,1.0,1.0,0.0,421.0,1.0,Semiurban,Y
LP000039,Male,No,0,Not Graduate,No,4261,4266,200.0,84.0,789.0,51.0,1.0,1.0,1.0,0.0,369.3,1.0,Rural,Y
LP000040,Male,Yes,0,Graduate,,3426,5646,501.0,360.0,642.0,22.1,,0.0,0.0,0.0,0.0,0.0,Semiurban,N
LP000041,Male,Yes,1,Graduate,No,7819,0,800.0,360.0,730.0,10.6,4.0,0.0,0.0,0.0,0.0,,Rural,N
LP000042,Male,No,2,Not Graduate,No,6781,0,464.0,84.0,718.0,5.8,2.0,2.0,2.0,0.0,74.9,1.0,Semiurban,Y
LP000043,Male,No,1,Graduate,No,11264,0,796.0,360.0,716.0,27.1,3.0,1.0,1.0,0.0,500.0,1.0,Semiurban,Y
LP000044,Female,Yes,0,Graduate,Yes,8658,2182,800.0,180.0,,34.3,4.0,1.0,1.0,0.0,183.8,1.0,Semiurban,Y
LP000045,Male,Yes,0,Graduate,No,3772,0,174.0,360.0,665.0,23.1,6.0,1.0,1.0,0.0,141.8,1.0,Urban,Y
LP000046,Male,No,3+,Graduate,No,5481,0,108.0,360.0,683.0,13.4,4.0,3.0,2.0,1.0,186.0,0.67,Rural,N
LP000047,Male,Yes,0,Not Graduate,No,15072,0,558.0,360.0,624.0,28.6,6.0,,1.0,1.0,159.0,0.5,Rural,N
LP000048,Male,Yes,1,Graduate,No,3497,3471,679.0,360.0,845.0,50.9,4.0,5.0,5.0,0.0,124.0,1.0,Semiurban,Y
LP000049,Male,Yes,2,Not Graduate,No,4939,2775,411.0,480.0,687.0,35.9,2.0,0.0,0.0,0.0,0.0,0.0,Semiurban,N
LP000050,Male,No,0,Graduate,No,4435,3930,235.0,360.0,750.0,56.9,0.0,5.0,5.0,0.0,500.0,1.0,Urban,N
LP000051,Female,Yes,1,Graduate,No,4491,3016,612.0,360.0,747.0,26.5,7.0,3.0,3.0,,235.6,1.0,Rural,Y
LP000052,Female,No,0,Graduate,No,2632,2652,368.0,360.0,836.0,29.4,1.0,0.0,0.0,0.0,0.0,0.0,Urban,Y
LP000053,Female,Yes,3+,Graduate,No,9750,5129,800.0,360.0,588.0,45.2,3.0,3.0,2.0,1.0,500.0,,Urban,N
LP000054,Female,Yes,0,Graduate,Yes,2564,0,,360.0,717.0,28.4,3.0,0.0,0.0,0.0,0.0,0.0,Rural,Y
LP000055,,No,0,Graduate,No,13559,0,800.0,240.0,707.0,41.2,6.0,,2.0,0.0,500.0,1.0,Semiurban,Y
LP000056,Female,No,1,Graduate,No,11887,0,800.0,360.0,731.0,,7.0,4.0,4.0,0.0,500.0,1.0,Rural,Y
LP000057,Male,Yes,2,Not Graduate,Yes,5169,0,611.0,360.0,722.0,33.5,6.0,2.0,2.0,0.0,209.2,1.0,Rural,Y
LP000058,Male,Yes,0,Not Graduate,No,4462,0,,360.0,709.0,67.1,4.0,5.0,5.0,0.0,275.1,1.0,Semiurban,Y
LP000059,,No,0,Graduate,No,2790,0,111.0,360.0,775.0,39.3,,1.0,1.0,0.0,199.2,1.0,Urban,Y
LP000060,Male,No,0,Not Graduate,No,4640,0,328.0,300.0,798.0,15.1,4.0,2.0,2.0,0.0,346.8,1.0,Urban,Y
LP000061,Male,Yes,0,Not Graduate,No,8502,0,599.0,360.0,662.0,21.4,5.0,2.0,2.0,0.0,105.5,1.0,Urban,Y
LP000062,Male,Yes,2,Graduate,No,2949,0,89.0,240.0,547.0,62.2,2.0,3.0,,2.0,232.9,0.33,Semiurban,N
LP000063,Female,No,0,Graduate,No,10729,0,800.0,360.0,732.0,13.6,9.0,4.0,3.0,1.0,156.0,0.75,Semiurban,Y
LP000064,Male,No,2,Graduate,No,8225,0,413.0,360.0,850.0,13.2,7.0,7.0,6.0,1.0,104.7,0.86,Urban,Y
LP000065,Male,No,2,Not Graduate,Yes,4172,0,124.0,360.0,704.0,39.2,6.0,3.0,3.0,0.0,256.7,1.0,Semiurban,Y
LP000066,Male,Yes,3+,Graduate,No,7169,0,289.0,360.0,781.0,43.4,6.0,0.0,0.0,0.0,0.0,0.0,Urban,N
LP000067,Male,Yes,1,Graduate,No,2572,0,301.0,360.0,701.0,23.0,8.0,1.0,1.0,0.0,104.4,1.0,Urban,Y
LP000068,Female,No,0,Graduate,Yes,4180,0,310.0,360.0,593.0,44.9,3.0,2.0,1.0,1.0,140.9,0.5,Semiurban,N
LP000069,Male,Yes,0,Graduate,Yes,16817,2782,336.0,360.0,658.0,49.5,4.0,2.0,1.0,1.0,500.0,0.5,Urban,N
LP000070,Female,Yes,3+,Graduate,Yes,9103,0,640.0,360.0,610.0,42.6,4.0,4.0,2.0,2.0,500.0,0.5,Urban,N
LP000071,Female,Yes,3+,Graduate,No,5996,1103,800.0,240.0,727.0,54.3,5.0,2.0,,0.0,477.4,1.0,Rural,Y
LP000072,Male,Yes,0,Graduate,No,4634,1444,149.0,360.0,782.0,,6.0,0.0,0.0,0.0,0.0,0.0,Rural,N
LP000073,Male,Yes,3+,Graduate,No,4253,8305,689.0,360.0,749.0,23.9,2.0,5.0,4.0,1.0,500.0,0.8,Rural,Y
LP000074,Female,No,2,Graduate,No,4370,1776,349.0,240.0,,34.3,4.0,7.0,3.0,4.0,401.5,0.43,Urban,N
LP000075,Male,No,3+,Graduate,No,2795,0,86.0,84.0,704.0,19.9,2.0,1.0,1.0,0.0,38.9,1.0,Rural,N
LP000076,Male,Yes,2,Not Graduate,Yes,6576,0,393.0,360.0,836.0,29.5,4.0,3.0,3.0,0.0,340.7,1.0,Rural,Y
LP000077,Female,Yes,2,Graduate,No,8321,0,219.0,84.0,792.0,29.1,6.0,3.0,3.0,0.0,500.0,1.0,Semiurban,Y
LP000078,Male,Yes,3+,Graduate,No,3822,0,336.0,360.0,593.0,57.9,5.0,0.0,0.0,,0.0,0.0,Semiurban,N
LP000079,Male,No,0,Graduate,No,5886,0,661.0,360.0,768.0,29.5,3.0,3.0,3.0,0.0,266.4,1.0,Semiurban,Y
LP000080,Male,Yes,3+,Not Graduate,No,2873,0,167.0,300.0,829.0,42.3,5.0,1.0,1.0,0.0,107.7,1.0,Semiurban,Y
LP000081,Female,No,0,Graduate,Yes,4272,2782,800.0,84.0,646.0,27.0,2.0,4.0,2.0,2.0,306.0,0.5,Semiurban,N
LP000082,Male,Yes,0,Graduate,No,2676,2604,387.0,36.0,606.0,69.2,4.0,0.0,0.0,0.0,0.0,0.0,Urban,N
LP000083,Male,Yes,2,Graduate,No,3880,6878,200.0,360.0,745.0,,3.0,5.0,5.0,0.0,389.5,1.0,Semiurban,Y
LP000084,Male,No,1,Graduate,No,4777,0,155.0,360.0,706.0,12.9,6.0,,1.0,0.0,286.9,1.0,Semiurban,Y
LP000085,Male,Yes,3+,Graduate,,6391,3482,253.0,360.0,653.0,47.0,,2.0,1.0,1.0,500.0,0.5,Rural,N
LP000086,Male,Yes,0,Graduate,No,3079,1226,383.0,360.0,748.0,25.9,5.0,1.0,1.0,0.0,57.5,1.0,Urban,Y
LP000087,Male,Yes,0,Graduate,Yes,5917,781,614.0,360.0,636.0,17.6,3.0,0.0,0.0,0.0,0.0,0.0,Semiurban,N
LP000088,Male,Yes,0,Graduate,Yes,2505,14967,,360.0,782.0,52.6,5.0,2.0,2.0,0.0,500.0,1.0,Semiurban,Y
LP000089,Female,Yes,0,Graduate,No,5379,0,549.0,180.0,732.0,26.0,3.0,7.0,6.0,1.0,307.2,0.86,Semiurban,Y
LP000090,Male,Yes,2,Graduate,No,16757,0,800.0,360.0,586.0,34.7,4.0,0.0,0.0,0.0,0.0,0.0,Semiurban,N
LP000091,Male,No,0,Graduate,No,3558,5386,380.0,300.0,611.0,28.6,2.0,2.0,1.0,1.0,362.8,0.5,Rural,N
LP000092,Male,No,0,Graduate,No,1997,2536,473.0,360.0,689.0,43.4,3.0,1.0,1.0,0.0,191.6,1.0,Urban,N
LP000093,Female,No,0,Graduate,No,7615,0,757.0,360.0,652.0,52.2,,4.0,3.0,1.0,,0.75,Semiurban,N
LP000094,Male,Yes,2,Graduate,No,5279,0,306.0,360.0,639.0,63.5,6.0,2.0,1.0,1.0,416.9,0.5,Urban,N
LP000095,Female,No,0,Graduate,No,5854,0,316.0,300.0,690.0,23.2,7.0,2.0,1.0,1.0,396.8,0.5,Rural,Y
LP000096,Male,Yes,2,Graduate,No,9538,6215,800.0,360.0,683.0,34.1,6.0,0.0,0.0,0.0,0.0,0.0,Rural,N
LP000097,Male,Yes,0,Not Graduate,Yes,2903,5066,464.0,360.0,,41.5,3.0,3.0,1.0,2.0,340.7,0.33,Rural,N
LP000098,Male,Yes,0,Graduate,,2955,11011,646.0,360.0,,20.2,6.0,0.0,0.0,0.0,0.0,0.0,Rural,N
LP000099,Male,No,2,Graduate,Yes,6165,0,485.0,180.0,661.0,21.9,3.0,1.0,1.0,0.0,385.7,1.0,Semiurban,Y
LP000100,Male,Yes,0,Graduate,No,8297,0,800.0,360.0,778.0,13.7,6.0,0.0,0.0,0.0,0.0,0.0,Semiurban,Y
LP000101,Male,No,1,Not Graduate,Yes,5127,4759,794.0,360.0,580.0,28.3,3.0,3.0,2.0,1.0,446.3,0.67,Rural,N
LP000102,Male,Yes,2,Not Graduate,Yes,4260,3913,800.0,360.0,551.0,36.0,2.0,5.0,1.0,4.0,168.0,0.2,Rural,N
LP000103,Male,Yes,1,Not Graduate,No,5397,0,535.0,360.0,789.0,43.4,2.0,0.0,0.0,0.0,0.0,0.0,Semiurban,Y
LP000104,Male,Yes,2,Graduate,No,6905,0,748.0,360.0,623.0,28.1,5.0,,2.0,1.0,256.4,0.67,Rural,N
LP000105,Female,No,2,Not Graduate,No,1865,0,180.0,300.0,626.0,33.0,1.0,4.0,2.0,2.0,63.0,0.5,Urban,N
LP000106,Male,Yes,1,Graduate,No,2455,592,238.0,180.0,831.0,20.6,8.0,2.0,2.0,0.0,146.7,1.0,Urban,Y
LP000107,Male,No,0,Graduate,No,4216,0,88.0,360.0,832.0,53.3,1.0,1.0,1.0,0.0,48.0,1.0,Semiurban,Y
LP000108,Female,No,0,Graduate,No,6728,3327,531.0,36.0,706.0,7.9,6.0,3.0,3.0,0.0,354.3,1.0,Urban,Y
LP000109,Male,No,3+,Not Graduate,No,16365,0,331.0,240.0,674.0,46.5,7.0,2.0,2.0,0.0,262.7,1.0,Semiurban,N
LP000110,Male,Yes,3+,Not Graduate,No,4154,4088,800.0,240.0,,52.1,1.0,2.0,1.0,1.0,496.6,0.5,Semiurban,N
LP000111,Male,No,0,Not Graduate,No,5152,1627,774.0,480.0,743.0,35.2,4.0,1.0,1.0,0.0,249.0,1.0,Rural,Y
LP000112,Male,No,0,Not Graduate,No,2983,0,92.0,,779.0,29.0,,3.0,3.0,0.0,,1.0,Urban,Y
LP000113,Female,Yes,0,Graduate,No,6596,0,530.0,360.0,602.0,52.4,8.0,4.0,2.0,2.0,273.3,0.5,Urban,N
LP000114,Female,No,1,Not Graduate,No,2301,1699,406.0,360.0,550.0,51.5,3.0,1.0,0.0,1.0,118.1,0.0,Urban,N
LP000115,Male,Yes,0,Graduate,No,4416,1702,142.0,60.0,708.0,34.8,9.0,0.0,0.0,0.0,0.0,0.0,Semiurban,Y
LP000116,Female,Yes,2,Graduate,No,2514,3543,706.0,360.0,760.0,54.0,3.0,4.0,4.0,0.0,187.8,1.0,Urban,Y
LP000117,Female,Yes,3+,Graduate,No,1252,0,99.0,360.0,839.0,28.6,1.0,2.0,2.0,,94.6,1.0,Rural,Y
LP000118,Male,Yes,3+,Not Graduate,No,22387,0,800.0,84.0,787.0,1.3,6.0,1.0,1.0,0.0,500.0,1.0,Urban,Y
LP000119,Female,Yes,0,Not Graduate,No,7195,5708,800.0,360.0,559.0,57.7,2.0,3.0,1.0,2.0,500.0,0.33,Urban,N
LP000120,Male,Yes,3+,Graduate,No,7225,5249,800.0,36.0,623.0,57.3,7.0,0.0,0.0,0.0,0.0,0.0,Semiurban,N
LP000121,Female,No,2,Graduate,No,7672,3116,294.0,360.0,668.0,26.5,4.0,1.0,1.0,0.0,500.0,1.0,Rural,Y
LP000122,Female,No,0,Graduate,No,10457,1160,800.0,360.0,619.0,18.6,7.0,4.0,3.0,1.0,500.0,0.75,Urban,N
LP000123,Male,No,0,Graduate,No,4902,3255,696.0,360.0,579.0,38.2,5.0,1.0,0.0,1.0,124.3,0.0,Rural,N
LP000124,Male,Yes,2,Graduate,No,7486,0,292.0,120.0,678.0,29.7,5.0,1.0,1.0,0.0,287.9,1.0,Rural,Y
LP000125,Male,No,3+,Graduate,No,3293,2239,99.0,360.0,770.0,12.6,4.0,1.0,1.0,0.0,217.8,1.0,Rural,Y
LP000126,Male,Yes,,Graduate,No,4010,0,274.0,360.0,728.0,18.3,3.0,0.0,0.0,0.0,0.0,0.0,Urban,N
LP000127,Female,No,0,Graduate,No,1770,0,42.0,360.0,733.0,40.5,3.0,7.0,6.0,1.0,45.0,0.86,Semiurban,Y
LP000128,,Yes,0,Graduate,No,5019,2949,338.0,84.0,613.0,57.6,9.0,4.0,2.0,2.0,500.0,0.5,Semiurban,N
LP000129,Male,Yes,3+,Graduate,No,3235,0,214.0,360.0,788.0,29.6,3.0,1.0,1.0,0.0,189.7,1.0,Semiurban,Y
LP000130,Male,No,3+,Graduate,No,4105,1298,108.0,360.0,750.0,22.9,5.0,4.0,4.0,0.0,163.7,1.0,Rural,Y
LP000131,Male,Yes,0,Not Graduate,No,7313,0,800.0,360.0,726.0,13.7,5.0,3.0,3.0,0.0,133.8,1.0,Semiurban,Y
LP000132,Male,Yes,0,Graduate,No,5330,0,282.0,360.0,690.0,18.3,6.0,2.0,1.0,1.0,63.0,0.5,Semiurban,Y
LP000133,Male,No,3+,Graduate,No,8250,0,519.0,360.0,672.0,30.7,3.0,3.0,2.0,1.0,171.2,0.67,Urban,N
LP000134,Male,Yes,2,Graduate,No,3119,4884,589.0,360.0,690.0,5.4,3.0,0.0,0.0,0.0,0.0,0.0,Rural,N
LP000135,Female,Yes,3+,Graduate,Yes,5592,1671,499.0,360.0,630.0,61.6,7.0,1.0,0.0,1.0,203.8,0.0,Semiurban,N
LP000136,Male,Yes,3+,Not Graduate,No,3029,2141,193.0,360.0,736.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,Semiurban,Y
LP000137,Male,Yes,,Graduate,No,4001,0,121.0,60.0,703.0,49.3,3.0,0.0,0.0,0.0,0.0,0.0,Rural,N
LP000138,Male,Yes,2,Graduate,No,3700,1542,176.0,360.0,653.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,Semiurban,N
LP000139,Male,No,0,Not Graduate,,2420,1371,204.0,,612.0,24.4,5.0,4.0,2.0,2.0,,0.5,Semiurban,N
LP000140,Female,Yes,2,Graduate,No,3471,1222,421.0,36.0,753.0,24.9,1.0,5.0,,0.0,375.3,1.0,Rural,Y
LP000141,Female,No,1,Graduate,Yes,6288,0,533.0,12.0,528.0,75.8,3.0,1.0,0.0,1.0,439.8,0.0,Rural,N
LP000142,Male,Yes,3+,Graduate,No,2566,0,202.0,360.0,727.0,33.7,5.0,0.0,0.0,0.0,0.0,0.0,Semiurban,N
LP000143,,Yes,3+,Graduate,No,2985,0,96.0,360.0,578.0,14.5,4.0,0.0,0.0,0.0,0.0,0.0,Rural,N
LP000144,Male,No,0,Graduate,No,9378,4253,338.0,84.0,692.0,,3.0,5.0,4.0,1.0,500.0,0.8,Semiurban,N
LP000145,Male,No,0,Graduate,Yes,10412,0,352.0,60.0,651.0,18.1,3.0,4.0,3.0,1.0,276.9,0.75,Semiurban,N
LP000146,Male,No,0,Graduate,No,7326,1145,800.0,480.0,698.0,22.4,,3.0,2.0,1.0,428.2,0.67,Rural,N
LP000147,Male,No,3+,Not Graduate,No,12392,0,800.0,480.0,759.0,9.1,6.0,2.0,2.0,0.0,500.0,1.0,Urban,Y
LP000148,Male,Yes,2,Not Graduate,No,10084,2074,800.0,300.0,584.0,39.6,5.0,3.0,2.0,1.0,500.0,0.67,Semiurban,N
LP000149,Male,Yes,3+,Graduate,No,4217,0,461.0,360.0,716.0,57.8,2.0,3.0,3.0,0.0,75.2,1.0,Rural,Y
LP000150,Male,No,1,Graduate,No,14669,0,293.0,360.0,742.0,31.1,6.0,0.0,0.0,0.0,0.0,0.0,Rural,N
LP000151,Female,Yes,0,Not Graduate,No,11335,0,800.0,360.0,728.0,16.7,5.0,6.0,6.0,0.0,500.0,1.0,Semiurban,Y
LP000152,Male,Yes,0,Graduate,No,4257,1359,571.0,84.0,830.0,50.4,,3.0,3.0,0.0,282.6,1.0,Rural,Y
LP000153,Male,Yes,0,Graduate,No,5170,1979,498.0,360.0,574.0,56.0,4.0,1.0,0.0,1.0,416.6,0.0,Rural,N
LP000154,Male,No,1,Graduate,No,2989,3055,352.0,300.0,738.0,20.9,2.0,0.0,0.0,0.0,0.0,0.0,Urban,N
LP000155,Female,Yes,3+,Not Graduate,No,4198,0,363.0,360.0,831.0,21.5,4.0,2.0,2.0,0.0,284.9,1.0,Urban,Y
LP000156,Male,Yes,0,Graduate,No,1749,0,156.0,360.0,705.0,5.2,3.0,,4.0,0.0,45.7,1.0,Semiurban,Y
LP000157,Male,Yes,3+,Not Graduate,No,3127,0,269.0,300.0,663.0,40.2,4.0,0.0,0.0,0.0,0.0,0.0,Rural,N
LP000158,Female,No,0,Not Graduate,No,7160,0,800.0,240.0,807.0,20.2,4.0,2.0,2.0,0.0,500.0,1.0,Rural,Y
LP000159,Male,Yes,0,Graduate,No,2405,0,280.0,360.0,788.0,48.9,6.0,6.0,6.0,0.0,172.3,1.0,Semiurban,Y
LP000160,Male,Yes,1,Graduate,No,3685,3234,560.0,360.0,813.0,55.1,4.0,2.0,2.0,0.0,292.3,1.0,Urban,Y
LP000161,Male,No,0,Graduate,No,6217,0,723.0,360.0,687.0,40.1,5.0,1.0,1.0,0.0,262.4,1.0,Urban,Y
LP000162,,No,3+,Graduate,No,3737,281,451.0,180.0,761.0,20.4,4.0,0.0,0.0,0.0,0.0,0.0,Urban,Y
LP000163,Male,No,0,Graduate,No,8874,5090,543.0,360.0,666.0,45.9,4.0,0.0,0.0,0.0,0.0,0.0,Urban,N
LP000164,Male,No,0,Not Graduate,No,9119,0,800.0,360.0,588.0,29.7,,1.0,1.0,0.0,500.0,1.0,Rural,Y
LP000165,Male,Yes,2,Not Graduate,No,3069,3399,315.0,360.0,579.0,27.8,4.0,2.0,1.0,1.0,,0.5,Semiurban,N
LP000166,Female,Yes,3+,Graduate,No,3421,0,338.0,360.0,677.0,26.3,5.0,1.0,1.0,0.0,58.5,1.0,Semiurban,Y
LP000167,Male,Yes,1,Graduate,No,4568,2639,335.0,360.0,742.0,53.3,3.0,0.0,0.0,0.0,0.0,0.0,Urban,N
LP000168,Male,No,0,Graduate,No,2983,0,117.0,360.0,695.0,40.1,5.0,0.0,0.0,0.0,0.0,0.0,Semiurban,N
LP000169,Male,Yes,0,Graduate,No,11851,2531,800.0,360.0,661.0,31.8,3.0,4.0,3.0,1.0,415.6,0.75,Urban,N
LP000170,Male,No,0,Not Graduate,Yes,3472,0,151.0,180.0,736.0,14.8,3.0,0.0,0.0,0.0,0.0,0.0,Urban,Y
LP000171,Male,No,0,Graduate,No,7681,0,682.0,360.0,626.0,58.2,4.0,6.0,3.0,3.0,325.2,0.5,Urban,N
LP000172,Male,Yes,3+,Graduate,No,1811,2859,97.0,60.0,629.0,36.6,4.0,1.0,1.0,0.0,329.0,1.0,Urban,N
LP000173,Male,Yes,0,Not Graduate,No,2796,2037,326.0,360.0,641.0,87.4,4.0,1.0,1.0,0.0,89.8,1.0,Urban,N
LP000174,Male,Yes,0,Graduate,Yes,2318,6646,620.0,12.0,695.0,54.8,6.0,2.0,1.0,1.0,128.0,0.5,Semiurban,N
LP000175,Male,,2,Graduate,No,2107,1342,324.0,360.0,698.0,12.3,4.0,1.0,1.0,0.0,104.1,1.0,Rural,Y
LP000176,Male,Yes,2,Graduate,No,3262,0,283.0,300.0,660.0,30.4,2.0,6.0,4.0,2.0,81.7,0.67,Urban,N
LP000177,Male,No,0,Graduate,Yes,5544,0,453.0,360.0,677.0,36.9,6.0,0.0,0.0,0.0,0.0,0.0,Urban,N
LP000178,Male,Yes,0,Not Graduate,No,11159,1907,586.0,360.0,654.0,10.2,3.0,5.0,4.0,1.0,500.0,0.8,Semiurban,Y
LP000179,Female,Yes,0,Graduate,No,3938,0,238.0,360.0,696.0,31.9,3.0,3.0,2.0,1.0,231.9,0.67,Semiurban,N
LP000180,Male,Yes,0,Not Graduate,No,4670,0,362.0,360.0,778.0,15.6,2.0,2.0,2.0,0.0,106.2,1.0,Urban,Y
LP000181,Male,No,0,Not Graduate,No,5451,0,307.0,360.0,624.0,27.3,2.0,5.0,2.0,3.0,209.3,0.4,Semiurban,N
LP000182,Male,No,1,Not Graduate,Yes,2872,0,308.0,360.0,553.0,34.0,2.0,3.0,1.0,2.0,117.5,0.33,Rural,N
LP000183,Female,No,0,Graduate,No,4383,772,570.0,480.0,640.0,38.9,5.0,0.0,0.0,0.0,0.0,0.0,Rural,N
LP000184,Female,No,0,Graduate,No,15562,1435,800.0,360.0,718.0,26.0,8.0,3.0,3.0,0.0,437.1,1.0,Urban,Y
LP000185,Male,Yes,0,Graduate,Yes,5613,4978,289.0,360.0,850.0,35.7,2.0,0.0,0.0,0.0,0.0,0.0,Rural,Y
LP000186,Male,Yes,3+,Not Graduate,Yes,15559,0,627.0,360.0,577.0,21.9,7.0,4.0,2.0,2.0,500.0,0.5,Rural,N
LP000187,Female,Yes,1,Not Graduate,No,4511,0,514.0,360.0,729.0,22.0,6.0,2.0,2.0,0.0,359.2,,Urban,Y
