Record_ID,Person_ID,Loan_Type,Loan_Amount,Loan_Date,Loan_Term_Months,Status,Lender
REC000105,PER00043,Personal Loan,87,2022-02-23,60,Repaid,HDFC Bank
REC000106,PER00044,Home Loan,180,2019-06-21,240,Active,Bank of Baroda
REC000107,PER00044,Education Loan,63,2014-07-10,36,Active,PNB
REC000108,PER00044,Personal Loan,14,2019-02-28,36,Repaid,PNB
REC000109,PER00045,Car Loan,39,2015-02-23,60,Active,Bank of Baroda
REC000110,PER00045,Education Loan,60,2020-01-27,36,Repaid,Yes Bank
REC000111,PER00045,Education Loan,20,2014-09-09,84,Active,Yes Bank
REC000112,PER00045,Education Loan,27,2012-03-18,36,Repaid,ICICI Bank
REC000113,PER00045,Home Loan,573,2011-12-19,360,Repaid,Union Bank
REC000114,PER00046,Education Loan,118,2014-01-23,36,Defaulted,Bank of Baroda
REC000115,PER00046,Consumer Durable Loan,8,2020-10-09,60,Defaulted,Canara Bank
REC000116,PER00046,Car Loan,73,2010-07-26,36,Defaulted,Kotak Mahindra
REC000117,PER00047,Business Loan,80,2016-03-18,36,Active,SBI
REC000118,PER00047,Car Loan,78,2022-02-03,36,Repaid,Canara Bank
REC000119,PER00047,Education Loan,16,2021-07-15,84,Repaid,Bajaj Finserv
REC000120,PER00047,Car Loan,57,2022-10-12,48,Repaid,ICICI Bank
REC000121,PER00047,Business Loan,298,2023-11-23,60,Repaid,ICICI Bank
REC000122,PER00047,Home Loan,664,2021-09-10,120,Repaid,Axis Bank
REC000123,PER00048,Business Loan,143,2025-01-21,12,Repaid,Yes Bank
REC000124,PER00048,Car Loan,104,2021-11-26,36,Active,Union Bank
REC000125,PER00049,Personal Loan,37,2022-06-21,36,Repaid,Canara Bank
REC000126,PER00049,Home Loan,147,2019-03-24,360,Repaid,LIC Housing Finance
REC000127,PER00049,Home Loan,172,2018-03-20,180,Repaid,Union Bank
REC000128,PER00049,Personal Loan,53,2017-03-03,60,Repaid,LIC Housing Finance
REC000129,PER00050,Home Loan,237,2014-11-27,180,Defaulted,LIC Housing Finance
REC000130,PER00051,Car Loan,13,2022-03-26,60,Repaid,HDFC Bank
REC000131,PER00052,Home Loan,158,2022-11-13,120,Active,Axis Bank
REC000132,PER00052,Car Loan,49,2015-12-07,36,Active,Canara Bank
REC000133,PER00052,Personal Loan,23,2016-02-04,24,Active,Bajaj Finserv
REC000134,PER00053,Car Loan,73,2017-03-16,48,Defaulted,Kotak Mahindra
REC000135,PER00053,Personal Loan,14,2025-02-28,48,Repaid,PNB
REC000136,PER00053,Home Loan,197,2011-04-27,120,Active,SBI
REC000137,PER00055,Home Loan,125,2015-03-11,180,Repaid,HDFC Bank
REC000138,PER00055,Home Loan,98,2016-11-20,180,Defaulted,Axis Bank
REC000139,PER00055,Car Loan,50,2020-03-17,48,Repaid,IDBI Bank
REC000140,PER00055,Education Loan,17,2019-12-06,60,Repaid,ICICI Bank
REC000141,PER00056,Personal Loan,25,2022-05-08,36,Active,Axis Bank
REC000142,PER00056,Home Loan,142,2022-12-21,300,Active,Axis Bank
REC000143,PER00056,Education Loan,26,2010-12-20,84,Repaid,Yes Bank
REC000144,PER00057,Home Loan,483,2011-06-11,360,Active,IDBI Bank
REC000145,PER00057,Education Loan,36,2017-11-22,60,Repaid,SBI
REC000146,PER00058,Two-Wheeler Loan,5,2010-02-01,12,Active,Tata Capital
REC000147,PER00058,Home Loan,165,2011-06-07,180,Defaulted,HDFC Bank
REC000148,PER00059,Gold Loan,28,2024-09-18,48,Active,HDFC Bank
REC000149,PER00059,Car Loan,94,2013-11-07,60,Active,Axis Bank
REC000150,PER00059,Car Loan,52,2024-09-28,48,Repaid,HDFC Bank
REC000151,PER00059,Home Loan,383,2016-12-13,120,Active,Canara Bank
REC000152,PER00059,Personal Loan,90,2022-07-21,36,Repaid,Bank of Baroda
REC000153,PER00059,Education Loan,40,2015-05-24,36,Repaid,IDBI Bank
REC000154,PER00060,Education Loan,37,2022-08-20,36,Defaulted,IDBI Bank
REC000155,PER00060,Education Loan,150,2012-09-04,48,Active,Axis Bank
REC000156,PER00061,Home Loan,95,2011-08-21,120,Repaid,IndusInd Bank
REC000157,PER00061,Personal Loan,13,2023-07-10,48,Defaulted,HDFC Bank
REC000158,PER00061,Home Loan,178,2023-06-28,360,Defaulted,IndusInd Bank
REC000159,PER00062,Two-Wheeler Loan,11,2024-01-08,48,Repaid,Bajaj Finserv
REC000160,PER00064,Home Loan,335,2013-12-25,240,Active,PNB
REC000161,PER00064,Personal Loan,50,2017-12-15,48,Defaulted,Axis Bank
REC000162,PER00064,Home Loan,294,2011-09-05,300,Repaid,SBI
REC000163,PER00065,Personal Loan,43,2011-08-27,36,Repaid,Yes Bank
REC000164,PER00065,Car Loan,51,2024-11-18,60,Defaulted,Axis Bank
REC000165,PER00065,Home Loan,311,2023-04-16,180,Repaid,Kotak Mahindra
REC000166,PER00066,Car Loan,66,2016-10-11,48,Repaid,HDFC Bank
REC000167,PER00066,Car Loan,59,2021-11-08,36,Defaulted,SBI
REC000168,PER00066,Car Loan,83,2024-05-16,36,Repaid,Tata Capital
REC000169,PER00066,Car Loan,53,2025-09-21,36,Repaid,Union Bank
REC000170,PER00066,Business Loan,113,2022-06-14,48,Defaulted,Bank of Baroda
REC000171,PER00066,Gold Loan,10,2022-11-01,12,Repaid,SBI
REC000172,PER00066,Personal Loan,52,2016-05-19,48,Repaid,SBI
REC000173,PER00067,Personal Loan,60,2017-02-06,48,Repaid,Canara Bank
REC000174,PER00067,Home Loan,189,2024-12-04,240,Active,Bank of Baroda
REC000175,PER00067,Education Loan,24,2021-11-11,36,Active,Union Bank
REC000176,PER00067,Home Loan,264,2018-04-11,240,Repaid,PNB
REC000177,PER00068,Home Loan,294,2012-08-16,180,Defaulted,HDFC Bank
REC000178,PER00068,Personal Loan,22,2022-04-26,12,Repaid,Kotak Mahindra
REC000179,PER00069,Gold Loan,13,2013-04-22,12,Repaid,Bajaj Finserv
REC000180,PER00069,Car Loan,57,2015-05-22,84,Repaid,Yes Bank
REC000181,PER00069,Car Loan,67,2017-10-25,36,Active,IndusInd Bank
REC000182,PER00069,Personal Loan,51,2011-08-19,48,Repaid,Canara Bank
REC000183,PER00070,Home Loan,248,2016-05-17,360,Defaulted,IDBI Bank
REC000184,PER00070,Home Loan,222,2020-10-09,360,Repaid,Tata Capital
REC000185,PER00071,Home Loan,411,2017-12-14,240,Defaulted,Bank of Baroda
REC000186,PER00071,Car Loan,46,2017-05-01,84,Repaid,IndusInd Bank
REC000187,PER00073,Home Loan,83,2019-03-22,180,Active,HDFC Bank
REC000188,PER00073,Personal Loan,32,2013-08-22,48,Repaid,PNB
REC000189,PER00073,Home Loan,191,2024-09-23,180,Repaid,Yes Bank
REC000190,PER00074,Consumer Durable Loan,5,2017-08-12,12,Active,PNB
REC000191,PER00074,Home Loan,272,2025-01-21,300,Active,HDFC Bank
REC000192,PER00075,Personal Loan,34,2012-04-23,24,Defaulted,Kotak Mahindra
REC000193,PER00075,Home Loan,81,2015-11-15,300,Active,Canara Bank
REC000194,PER00076,Business Loan,144,2025-07-20,12,Defaulted,ICICI Bank
REC000195,PER00076,Home Loan,107,2013-02-10,120,Defaulted,Bajaj Finserv
REC000196,PER00076,Business Loan,225,2013-01-14,60,Defaulted,ICICI Bank
REC000197,PER00076,Personal Loan,26,2017-05-02,48,Repaid,Axis Bank
REC000198,PER00076,Home Loan,110,2021-12-13,300,Defaulted,IDBI Bank
REC000199,PER00077,Education Loan,39,2019-09-02,48,Active,Bajaj Finserv
REC000200,PER00078,Home Loan,159,2025-12-01,300,Defaulted,IndusInd Bank
REC000201,PER00079,Personal Loan,100,2025-03-07,36,Repaid,Tata Capital
REC000202,PER00079,Home Loan,223,2016-02-27,360,Repaid,LIC Housing Finance
REC000203,PER00079,Car Loan,52,2016-10-24,60,Defaulted,Bajaj Finserv
REC000204,PER00079,Home Loan,110,2021-11-21,300,Repaid,PNB
REC000205,PER00080,Business Loan,182,2019-05-10,60,Repaid,SBI
REC000206,PER00081,Business Loan,407,2011-08-27,12,Defaulted,IDBI Bank
REC000207,PER00081,Personal Loan,23,2022-03-05,48,Repaid,PNB
REC000208,PER00082,Personal Loan,36,2017-10-14,48,Repaid,LIC Housing Finance
REC000209,PER00083,Home Loan,60,2025-12-17,120,Active,LIC Housing Finance
REC000210,PER00083,Home Loan,208,2023-09-09,120,Repaid,Tata Capital
REC000211,PER00083,Gold Loan,7,2019-05-04,48,Repaid,HDFC Bank
REC000212,PER00083,Car Loan,100,2025-12-02,60,Repaid,SBI
REC000213,PER00084,Car Loan,49,2023-01-24,36,Repaid,Tata Capital
REC000214,PER00084,Business Loan,74,2010-12-09,24,Defaulted,Tata Capital
REC000215,PER00087,Personal Loan,45,2022-01-24,36,Repaid,ICICI Bank
REC000216,PER00087,Home Loan,196,2018-05-15,180,Defaulted,IndusInd Bank
REC000217,PER00087,Home Loan,118,2014-03-01,300,Repaid,Canara Bank
REC000218,PER00087,Car Loan,84,2023-07-27,60,Defaulted,Bajaj Finserv
REC000219,PER00087,Personal Loan,19,2013-06-10,24,Active,IDBI Bank
REC000220,PER00088,Business Loan,197,2014-10-04,60,Defaulted,Canara Bank
REC000221,PER00089,Home Loan,75,2021-09-13,300,Repaid,Kotak Mahindra
REC000222,PER00090,Personal Loan,21,2023-02-19,48,Active,SBI
REC000223,PER00090,Car Loan,65,2021-10-06,36,Active,ICICI Bank
REC000224,PER00090,Personal Loan,20,2013-07-17,12,Repaid,Axis Bank
REC000225,PER00091,Car Loan,114,2024-12-11,60,Repaid,PNB
REC000226,PER00091,Home Loan,89,2022-11-17,360,Repaid,Union Bank
REC000227,PER00092,Business Loan,128,2019-05-04,24,Repaid,Kotak Mahindra
REC000228,PER00092,Gold Loan,9,2012-01-24,12,Repaid,Yes Bank
REC000229,PER00094,Home Loan,155,2022-06-12,120,Repaid,IndusInd Bank
REC000230,PER00094,Home Loan,397,2011-10-11,120,Repaid,HDFC Bank
REC000231,PER00094,Personal Loan,51,2011-08-11,48,Repaid,Kotak Mahindra
REC000232,PER00094,Personal Loan,27,2019-12-24,12,Repaid,PNB
REC000233,PER00094,Home Loan,104,2017-01-19,240,Active,IDBI Bank
REC000234,PER00095,Home Loan,229,2017-02-28,180,Repaid,Kotak Mahindra
REC000235,PER00095,Education Loan,116,2010-02-06,48,Repaid,SBI
REC000236,PER00095,Personal Loan,42,2018-02-10,24,Active,ICICI Bank
REC000237,PER00095,Car Loan,38,2015-12-24,60,Repaid,IDBI Bank
REC000238,PER00096,Education Loan,29,2024-08-08,36,Defaulted,Axis Bank
REC000239,PER00096,Business Loan,73,2019-12-26,12,Repaid,Yes Bank
REC000240,PER00096,Home Loan,82,2012-08-12,120,Repaid,ICICI Bank
REC000241,PER00097,Personal Loan,29,2017-12-28,12,Repaid,PNB
REC000242,PER00097,Personal Loan,16,2023-08-18,24,Repaid,Bank of Baroda
REC000243,PER00097,Education Loan,58,2016-03-13,60,Active,Union Bank
REC000244,PER00097,Consumer Durable Loan,6,2025-08-05,48,Active,PNB
REC000245,PER00097,Personal Loan,25,2015-06-19,12,Active,Tata Capital
REC000246,PER00097,Personal Loan,32,2014-05-13,24,Repaid,Bank of Baroda
REC000247,PER00097,Consumer Durable Loan,8,2020-07-27,60,Repaid,SBI
REC000248,PER00098,Gold Loan,6,2015-03-28,48,Active,HDFC Bank
REC000249,PER00098,Business Loan,20,2011-06-03,48,Repaid,Canara Bank
REC000250,PER00099,Gold Loan,8,2020-09-23,12,Active,Union Bank
REC000251,PER00099,Business Loan,137,2020-03-01,48,Active,HDFC Bank
REC000252,PER00099,Personal Loan,25,2016-06-09,48,Repaid,IndusInd Bank
REC000253,PER00099,Home Loan,200,2025-03-04,180,Repaid,Bank of Baroda
REC000254,PER00100,Education Loan,92,2012-12-13,60,Defaulted,SBI
REC000255,PER00100,Business Loan,30,2023-04-21,36,Defaulted,LIC Housing Finance
REC000256,PER00100,Home Loan,88,2013-01-25,180,Active,Bank of Baroda
REC000257,PER00100,Business Loan,128,2019-03-09,48,Repaid,Kotak Mahindra
REC000258,PER00100,Car Loan,49,2018-11-28,60,Defaulted,ICICI Bank
REC000259,PER00100,Business Loan,114,2022-04-08,12,Repaid,SBI
REC000260,PER00102,Home Loan,269,2022-01-16,300,Repaid,Tata Capital
REC000261,PER00102,Business Loan,53,2013-05-03,48,Repaid,Bajaj Finserv
REC000262,PER00102,Personal Loan,33,2018-04-03,12,Repaid,SBI
REC000263,PER00102,Home Loan,139,2015-12-14,120,Repaid,Axis Bank
REC000264,PER00102,Personal Loan,38,2017-05-19,48,Active,ICICI Bank
REC000265,PER00103,Personal Loan,19,2018-01-08,12,Repaid,Bajaj Finserv
REC000266,PER00103,Personal Loan,29,2017-03-16,60,Repaid,SBI
REC000267,PER00105,Home Loan,88,2017-05-17,120,Active,PNB
REC000268,PER00105,Personal Loan,63,2022-11-14,36,Repaid,LIC Housing Finance
REC000269,PER00106,Car Loan,76,2010-10-07,84,Active,IndusInd Bank
REC000270,PER00106,Business Loan,39,2023-07-13,12,Defaulted,HDFC Bank
REC000271,PER00106,Home Loan,310,2013-02-05,240,Defaulted,IndusInd Bank
REC000272,PER00106,Education Loan,60,2010-12-26,60,Defaulted,Kotak Mahindra
REC000273,PER00108,Gold Loan,12,2017-02-17,12,Repaid,ICICI Bank
REC000274,PER00108,Personal Loan,21,2016-10-05,60,Active,LIC Housing Finance
REC000275,PER00108,Personal Loan,55,2021-05-22,36,Repaid,ICICI Bank
REC000276,PER00108,Home Loan,345,2018-05-06,180,Repaid,IDBI Bank
REC000277,PER00110,Car Loan,51,2019-12-18,84,Repaid,LIC Housing Finance
REC000278,PER00110,Home Loan,224,2023-11-17,120,Repaid,PNB
REC000279,PER00110,Personal Loan,38,2015-01-04,12,Repaid,PNB
REC000280,PER00111,Home Loan,104,2011-06-27,360,Repaid,Tata Capital
REC000281,PER00111,Home Loan,151,2019-05-10,300,Repaid,Kotak Mahindra
REC000282,PER00112,Consumer Durable Loan,9,2018-01-13,24,Repaid,PNB
REC000283,PER00112,Business Loan,25,2025-03-26,12,Defaulted,LIC Housing Finance
REC000284,PER00112,Home Loan,138,2021-11-07,300,Repaid,IDBI Bank
REC000285,PER00112,Car Loan,44,2022-01-03,84,Repaid,Bank of Baroda
REC000286,PER00112,Car Loan,68,2019-03-05,60,Repaid,IDBI Bank
REC000287,PER00112,Business Loan,129,2024-11-21,24,Active,Bajaj Finserv
REC000288,PER00112,Personal Loan,38,2015-05-22,36,Defaulted,PNB
REC000289,PER00113,Car Loan,34,2019-04-06,60,Repaid,IndusInd Bank
REC000290,PER00113,Personal Loan,51,2012-02-17,36,Active,Union Bank
REC000291,PER00114,Consumer Durable Loan,3,2017-03-06,36,Repaid,Bajaj Finserv
REC000292,PER00114,Consumer Durable Loan,13,2022-07-16,24,Repaid,Bajaj Finserv
REC000293,PER00114,Home Loan,188,2025-05-16,300,Active,IndusInd Bank
REC000294,PER00114,Education Loan,76,2023-09-15,60,Active,IndusInd Bank
REC000295,PER00115,Education Loan,21,2025-09-01,84,Active,LIC Housing Finance
REC000296,PER00117,Home Loan,220,2010-07-02,180,Repaid,Bank of Baroda
REC000297,PER00117,Home Loan,269,2011-10-13,300,Active,ICICI Bank
REC000298,PER00117,Business Loan,80,2020-06-07,60,Active,SBI
REC000299,PER00118,Home Loan,254,2019-10-04,300,Defaulted,HDFC Bank
REC000300,PER00118,Home Loan,222,2021-04-21,300,Repaid,Kotak Mahindra
REC000301,PER00119,Personal Loan,25,2018-01-26,60,Repaid,Bank of Baroda
REC000302,PER00119,Education Loan,29,2020-09-01,60,Repaid,Union Bank
REC000303,PER00119,Business Loan,197,2013-04-18,36,Repaid,SBI
REC000304,PER00119,Personal Loan,36,2010-10-23,24,Repaid,IDBI Bank
REC000305,PER00120,Home Loan,130,2013-09-09,360,Defaulted,ICICI Bank
REC000306,PER00121,Business Loan,44,2025-03-12,12,Repaid,Yes Bank
REC000307,PER00121,Home Loan,175,2014-04-02,120,Defaulted,Union Bank
REC000308,PER00122,Car Loan,73,2011-03-28,48,Repaid,PNB
REC000309,PER00122,Car Loan,146,2014-12-11,60,Repaid,SBI
REC000310,PER00123,Personal Loan,28,2018-03-15,12,Active,Axis Bank
REC000311,PER00123,Home Loan,110,2020-09-04,180,Repaid,Bank of Baroda
REC000312,PER00123,Education Loan,19,2010-08-28,48,Active,Bank of Baroda
REC000313,PER00123,Home Loan,153,2020-09-02,360,Repaid,PNB
REC000314,PER00124,Business Loan,93,2016-09-24,60,Repaid,Axis Bank
REC000315,PER00124,Gold Loan,14,2011-12-13,48,Repaid,Canara Bank
REC000316,PER00124,Car Loan,57,2017-09-23,36,Repaid,Axis Bank
REC000317,PER00125,Business Loan,57,2020-03-11,60,Active,IndusInd Bank
REC000318,PER00125,Gold Loan,15,2010-01-15,48,Defaulted,Bank of Baroda
REC000319,PER00125,Personal Loan,17,2024-09-14,24,Defaulted,HDFC Bank
REC000320,PER00126,Personal Loan,23,2014-05-06,24,Repaid,Tata Capital
REC000321,PER00126,Personal Loan,14,2020-12-01,12,Active,Bajaj Finserv
REC000322,PER00126,Personal Loan,28,2024-12-12,12,Repaid,ICICI Bank
REC000323,PER00127,Home Loan,80,2015-04-12,240,Repaid,Bajaj Finserv
REC000324,PER00128,Education Loan,45,2013-01-11,60,Active,Axis Bank
REC000325,PER00128,Car Loan,54,2018-05-10,84,Defaulted,IDBI Bank
REC000326,PER00129,Education Loan,41,2018-03-12,36,Repaid,Axis Bank
REC000327,PER00129,Home Loan,117,2017-07-27,180,Active,Yes Bank
REC000328,PER00131,Personal Loan,20,2010-01-22,24,Defaulted,Yes Bank
REC000329,PER00131,Two-Wheeler Loan,11,2014-11-24,36,Repaid,IDBI Bank
REC000330,PER00132,Education Loan,38,2016-10-20,60,Repaid,Bajaj Finserv
REC000331,PER00132,Car Loan,43,2016-12-14,36,Repaid,Canara Bank
REC000332,PER00132,Two-Wheeler Loan,3,2014-01-03,36,Active,Bajaj Finserv
REC000333,PER00132,Education Loan,32,2013-03-02,36,Repaid,PNB
REC000334,PER00132,Home Loan,332,2016-05-21,120,Repaid,Yes Bank
REC000335,PER00133,Home Loan,250,2012-06-15,300,Active,Bank of Baroda
REC000336,PER00133,Education Loan,25,2022-07-26,48,Active,PNB
REC000337,PER00134,Business Loan,250,2010-11-23,24,Active,Union Bank
REC000338,PER00134,Home Loan,76,2023-09-17,240,Defaulted,Bank of Baroda
REC000339,PER00135,Education Loan,27,2012-04-17,36,Repaid,HDFC Bank
REC000340,PER00135,Car Loan,48,2010-07-26,60,Active,Yes Bank
REC000341,PER00135,Home Loan,444,2020-09-09,360,Repaid,Axis Bank
REC000342,PER00136,Personal Loan,58,2019-04-04,24,Repaid,Union Bank
REC000343,PER00136,Business Loan,86,2013-08-27,60,Active,Yes Bank
REC000344,PER00137,Business Loan,127,2012-03-12,36,Active,Yes Bank
REC000345,PER00137,Home Loan,139,2013-12-23,180,Active,ICICI Bank
REC000346,PER00138,Home Loan,165,2025-08-28,120,Defaulted,Tata Capital
REC000347,PER00138,Personal Loan,26,2015-01-05,12,Active,PNB
REC000348,PER00138,Home Loan,95,2020-01-18,120,Defaulted,PNB
REC000349,PER00138,Home Loan,140,2010-04-22,240,Active,Bajaj Finserv
REC000350,PER00139,Home Loan,221,2011-06-26,360,Active,Yes Bank
